iter	Logloss
0	0.6015093943
1	0.5210197858
2	0.466939458
3	0.4216560401
4	0.3854352585
5	0.3605677242
6	0.3400183806
7	0.3240860274
8	0.3087811927
9	0.298088645
10	0.2888856422
11	0.2824333166
12	0.2779031187
13	0.2723673253
14	0.2685490403
15	0.2652472341
16	0.2624496799
17	0.2595777864
18	0.2570096488
19	0.2552125671
20	0.2534656559
21	0.2520304825
22	0.2508967386
23	0.2493840461
24	0.247916184
25	0.2467520309
26	0.2458647469
27	0.2451278956
28	0.2435297583
29	0.2424319393
30	0.2418289101
31	0.2412986253
32	0.2408576722
33	0.2401397552
34	0.2396728749
35	0.2391548657
36	0.2386811691
37	0.2382649713
38	0.2377585762
39	0.2367944947
40	0.2364839176
41	0.235960345
42	0.2354822262
43	0.2351093324
44	0.234709418
45	0.2343373951
46	0.2339187586
47	0.2335440051
48	0.2332153622
49	0.232851523
50	0.2323758698
51	0.2318867972
52	0.2316416688
53	0.2312632634
54	0.2309064611
55	0.2306328969
56	0.2302671314
57	0.2299880289
58	0.229689393
59	0.2293591145
60	0.2291333083
61	0.2289088994
62	0.2286677789
63	0.2283183706
64	0.2280685942
65	0.2277728732
66	0.2275906872
67	0.227399524
68	0.2272531417
69	0.2268155942
70	0.226565105
71	0.2263239494
72	0.2261398241
73	0.2259207804
74	0.2255293595
75	0.2253109918
76	0.2250581553
77	0.2247819248
78	0.2245834516
79	0.2244165385
80	0.2239104925
81	0.2236999236
82	0.2235343461
83	0.2234029296
84	0.2232377473
85	0.222923723
86	0.2227701741
87	0.222531955
88	0.2223336982
89	0.2221742276
90	0.22189384
91	0.2217145797
92	0.2215810141
93	0.2214220106
94	0.2212997989
95	0.2212002203
96	0.2209418977
97	0.2207538652
98	0.2206163676
99	0.2203779112
100	0.2200868583
101	0.2198389125
102	0.2197135982
103	0.2195800951
104	0.2194116541
105	0.2192124507
106	0.2190661642
107	0.2189138228
108	0.2187352124
109	0.2185854453
110	0.2184439932
111	0.2182748452
112	0.2180566383
113	0.217901478
114	0.2177794758
115	0.2176570581
116	0.2175408224
117	0.2173257411
118	0.2171302835
119	0.2169875131
120	0.2168488431
121	0.2166910503
122	0.2165052026
123	0.2163561153
124	0.216180206
125	0.215914063
126	0.215778028
127	0.2155624168
128	0.2153800322
129	0.21525151
130	0.2150594786
131	0.2149039743
132	0.2147781704
133	0.21469579
134	0.2145870517
135	0.2144321022
136	0.2142981486
137	0.2141189588
138	0.2139869847
139	0.2137826992
140	0.2136373248
141	0.2134314622
142	0.2132612253
143	0.2131236951
144	0.2130084884
145	0.2128695645
146	0.2127786559
147	0.2126361743
148	0.21251576
149	0.2123339606
150	0.2121832157
151	0.2120209539
152	0.2118796949
153	0.2118047332
154	0.2116815501
155	0.2115500044
156	0.2113556526
157	0.2112387383
158	0.2111168022
159	0.2110206338
160	0.2108986324
161	0.2106537452
162	0.210534446
163	0.2104432426
164	0.2103613789
165	0.2102188801
166	0.2100852342
167	0.2099971479
168	0.2098981649
169	0.20978102
170	0.2096692241
171	0.2095367094
172	0.209390481
173	0.2092577578
174	0.2091811032
175	0.2089940048
176	0.2089340033
177	0.2088130894
178	0.2087293049
179	0.2086341803
180	0.2085119673
181	0.208390508
182	0.2082763283
183	0.2080546586
184	0.2079698123
185	0.2078270823
186	0.2076249336
187	0.2074345142
188	0.20732289
189	0.2072397023
190	0.2071540685
191	0.20702462
192	0.2069334424
193	0.2068423115
194	0.2067575813
195	0.206688039
196	0.2065678599
197	0.2064666154
198	0.206353614
199	0.2062121893
200	0.2061111038
201	0.2060127175
202	0.205838467
203	0.2057301797
204	0.2056468595
205	0.2055246549
206	0.2054204289
207	0.2053120494
208	0.2052099212
209	0.2050801249
210	0.2050005155
211	0.2048789031
212	0.2048075404
213	0.2046430249
214	0.204535188
215	0.2044361724
216	0.2042606288
217	0.2041854758
218	0.204087901
219	0.2040088294
220	0.2039075412
221	0.2038311154
222	0.203721165
223	0.2036600057
224	0.2036000776
225	0.2034753893
226	0.203372903
227	0.20322293
228	0.2030618203
229	0.202964701
230	0.2028955702
231	0.2028031724
232	0.2027015435
233	0.2025928209
234	0.202540001
235	0.2024108285
236	0.2023512149
237	0.2022364899
238	0.2021143576
239	0.2019605716
240	0.2018279761
241	0.201721122
242	0.2016109699
243	0.2015476658
244	0.2014832391
245	0.2013992084
246	0.2013064299
247	0.2012421131
248	0.2011360201
249	0.2009866027
250	0.2008951904
251	0.2007657986
252	0.2006983836
253	0.2006059777
254	0.2005291772
255	0.2004760115
256	0.2003887121
257	0.2002656154
258	0.2002042445
259	0.2001475744
260	0.2000319767
261	0.1999801759
262	0.1999025611
263	0.1998060799
264	0.199732519
265	0.199622651
266	0.1994622342
267	0.1993884508
268	0.1993022871
269	0.1991884696
270	0.1990992812
271	0.1990316016
272	0.1989786822
273	0.1989062528
274	0.1988388602
275	0.1987709706
276	0.1987167424
277	0.1986490233
278	0.1985427551
279	0.1984069221
280	0.1983300059
281	0.1982796275
282	0.198177357
283	0.1980959664
284	0.1980408614
285	0.1979435475
286	0.1978384988
287	0.1977603292
288	0.1976620239
289	0.1975792363
290	0.1975159621
291	0.1974411734
292	0.1973244045
293	0.1972432869
294	0.1971717052
295	0.1970281501
296	0.1969377219
297	0.1968219352
298	0.1967728774
299	0.1966717045
300	0.1966026894
301	0.1965383432
302	0.1963963667
303	0.196272898
304	0.1961742807
305	0.1961146798
306	0.196032271
307	0.1959212447
308	0.1958339379
309	0.1957525381
310	0.1957097494
311	0.1956174585
312	0.1955585886
313	0.1954472301
314	0.1953632434
315	0.1953129542
316	0.1951746107
317	0.195098412
318	0.1950217624
319	0.194954122
320	0.194882864
321	0.1947708892
322	0.1946912326
323	0.1946291887
324	0.1945668874
325	0.1944763243
326	0.1943430664
327	0.1942670102
328	0.1941793039
329	0.1940715092
330	0.1939991967
331	0.1938950404
332	0.193803768
333	0.1936837821
334	0.1936062864
335	0.193536224
336	0.1934318904
337	0.1933436816
338	0.1932384368
339	0.1931695595
340	0.1931221595
341	0.1930417339
342	0.1929326379
343	0.1928289453
344	0.1927689011
345	0.1927160475
346	0.1926468043
347	0.1925798574
348	0.1925255072
349	0.1924435869
350	0.1923591598
351	0.1922565984
352	0.1921639899
353	0.1920649481
354	0.1919652066
355	0.1918679837
356	0.1918288889
357	0.1917604492
358	0.1916789182
359	0.1916267304
360	0.1915753745
361	0.1915286758
362	0.191486038
363	0.1914315321
364	0.191327214
365	0.1912184678
366	0.1911668533
367	0.1911171368
368	0.1910613547
369	0.1909772323
370	0.1907951562
371	0.190729573
372	0.1906380936
373	0.1904942873
374	0.1903664407
375	0.1902936448
376	0.1901727641
377	0.1901051774
378	0.1900055592
379	0.1899002086
380	0.1898377962
381	0.1897835755
382	0.1897321422
383	0.1896784559
384	0.1896188618
385	0.1894852517
386	0.1894002408
387	0.1893024295
388	0.1892291888
389	0.1891208355
390	0.1890887121
391	0.1890455657
392	0.1889720059
393	0.1889193078
394	0.1887827773
395	0.1887410489
396	0.1886480493
397	0.18857585
398	0.1884665956
399	0.1884207999
400	0.1883499748
401	0.1882975383
402	0.1881924303
403	0.1881356028
404	0.1880707131
405	0.1879550952
406	0.1878664793
407	0.1878087331
408	0.1877783982
409	0.1877142943
410	0.1876583164
411	0.1876108348
412	0.187553812
413	0.187461642
414	0.1874116995
415	0.1873609625
416	0.1872791045
417	0.187202085
418	0.1871463217
419	0.1871074579
420	0.1870695543
421	0.1870340108
422	0.1869662415
423	0.1869044567
424	0.1868075222
425	0.1867297165
426	0.1866635582
427	0.1866062549
428	0.1865447462
429	0.1864570509
430	0.186406845
431	0.1863023742
432	0.1861362912
433	0.186049318
434	0.1859972935
435	0.1858824329
436	0.1858283607
437	0.185768812
438	0.1856370886
439	0.1855095609
440	0.1853980419
441	0.1853621669
442	0.1853266501
443	0.185266174
444	0.185231516
445	0.1851862723
446	0.1851180334
447	0.1850651477
448	0.184987454
449	0.1849165996
450	0.1848796074
451	0.1848330185
452	0.1847524451
453	0.1846900971
454	0.1846238045
455	0.1845037351
456	0.1844315167
457	0.1843735791
458	0.1843026832
459	0.184269924
460	0.1842158667
461	0.1841328244
462	0.1840478077
463	0.1839840294
464	0.1838998761
465	0.1838512447
466	0.1838119804
467	0.1837436583
468	0.1836632111
469	0.1835942844
470	0.1835469385
471	0.1834623736
472	0.183417983
473	0.183356652
474	0.1833068806
475	0.1832322733
476	0.1831660052
477	0.1831092736
478	0.1830352083
479	0.1829707985
480	0.1829112478
481	0.1828451772
482	0.1827993862
483	0.1827228813
484	0.1826790753
485	0.1825830849
486	0.1825597957
487	0.1825131101
488	0.1824504753
489	0.1823916956
490	0.1823007347
491	0.1822584907
492	0.1821239413
493	0.1820968927
494	0.1819777444
495	0.1819348704
496	0.1818951811
497	0.1818660486
498	0.1818092087
499	0.1817646075
500	0.1817029736
501	0.1816526527
502	0.181597257
503	0.1815610955
504	0.1815350625
